                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7299,                 3.0928,                 1.4535,                 0.0006,                0.12027,                0.00044,                0.00017,                 2.4523,                    inf,                 3.6685,                 0.0704,              0.0032889,              0.0032889
                      1,                 1.9341,                 2.8823,                 1.6279,                0.18748,                0.18837,                0.01122,                0.00414,                 2.1108,                 62.173,                 2.1925,               0.040334,              0.0065567,              0.0065567
                      2,                 1.8868,                 2.7721,                 1.6003,                0.69984,                0.02987,                0.01665,                0.00735,                 2.0452,                 14.323,                 2.0014,               0.010203,              0.0097584,              0.0097584
                      3,                 1.8878,                 2.7868,                 1.5983,                0.22659,                0.08166,                0.02995,                0.01594,                 1.8984,                 7.4295,                 1.7086,               0.009703,               0.009703,               0.009703
                      4,                 1.7603,                 2.6693,                 1.5299,                0.23423,                0.08276,                0.04327,                0.02536,                 1.7868,                 4.7317,                 1.6571,               0.009703,               0.009703,               0.009703
                      5,                 1.6845,                 2.5751,                 1.4579,                0.39536,                0.10411,                0.06112,                0.03718,                 1.6363,                 2.6687,                 1.4478,               0.009604,               0.009604,               0.009604
                      6,                 1.6223,                 2.5052,                 1.4551,                0.42459,                0.12507,                0.05527,                0.02917,                  1.658,                 3.3104,                 1.5231,               0.009505,               0.009505,               0.009505
                      7,                 1.6369,                 2.5009,                 1.4397,                0.56107,                0.06612,                0.04479,                0.02448,                 1.7518,                 3.2388,                 1.5849,               0.009406,               0.009406,               0.009406
                      8,                 1.6298,                  2.472,                 1.4445,                 0.4153,                0.12595,                0.05638,                0.03178,                 1.6085,                 2.6764,                 1.5149,               0.009307,               0.009307,               0.009307
                      9,                 1.5786,                 2.4583,                 1.4104,                 0.5769,                0.13807,                0.06404,                0.03853,                 1.5334,                 2.6287,                 1.4054,               0.009208,               0.009208,               0.009208
                     10,                 1.5703,                 2.4395,                 1.4305,                0.58132,                0.10663,                 0.0622,                0.03899,                 1.4787,                 2.7569,                 1.4256,               0.009109,               0.009109,               0.009109
                     11,                   1.54,                    2.4,                 1.3957,                0.24902,                0.14624,                0.09041,                 0.0475,                 1.4623,                 2.4654,                  1.393,                0.00901,                0.00901,                0.00901
                     12,                 1.4895,                 2.3258,                 1.3745,                0.58323,                0.08898,                 0.0662,                0.04258,                 1.4325,                 2.9721,                 1.4113,               0.008911,               0.008911,               0.008911
                     13,                 1.4865,                 2.3109,                 1.3617,                0.43408,                0.13795,                0.06629,                 0.0392,                 1.5892,                 2.4408,                 1.4579,               0.008812,               0.008812,               0.008812
                     14,                 1.4756,                 2.3128,                 1.3529,                0.57433,                0.12762,                0.07251,                0.04356,                 1.4495,                 2.4637,                 1.4011,               0.008713,               0.008713,               0.008713
                     15,                 1.4452,                 2.2932,                 1.3217,                0.59792,                0.10199,                0.07091,                0.04417,                 1.5724,                 2.4365,                 1.4632,               0.008614,               0.008614,               0.008614
                     16,                 1.4896,                 2.3147,                 1.3487,                0.43382,                0.13987,                 0.0755,                0.04416,                 1.4025,                 2.4202,                 1.3488,               0.008515,               0.008515,               0.008515
                     17,                 1.4411,                 2.2424,                   1.33,                0.28775,                 0.1271,                0.08209,                0.04982,                 1.4499,                 2.2995,                  1.366,               0.008416,               0.008416,               0.008416
                     18,                 1.4454,                 2.2287,                 1.3395,                0.23552,                0.12817,                0.07212,                0.04433,                 1.4541,                 2.3891,                 1.3981,               0.008317,               0.008317,               0.008317
                     19,                 1.4147,                 2.2273,                 1.3139,                 0.5886,                0.12997,                0.07544,                0.04537,                 1.3825,                 2.4265,                 1.3568,               0.008218,               0.008218,               0.008218
                     20,                 1.3796,                 2.2106,                 1.2977,                0.47506,                0.13538,                0.07591,                0.04787,                 1.4062,                 2.3343,                 1.3737,               0.008119,               0.008119,               0.008119
                     21,                  1.387,                 2.1652,                 1.3109,                0.75038,                0.10659,                0.07801,                 0.0477,                 1.4097,                 2.3533,                 1.3824,                0.00802,                0.00802,                0.00802
                     22,                 1.4169,                 2.1884,                 1.3095,                0.41472,                0.12933,                0.07509,                0.04848,                 1.3714,                  2.286,                 1.3653,               0.007921,               0.007921,               0.007921
                     23,                  1.404,                 2.1825,                 1.3187,                0.41007,                0.16746,                0.07444,                0.04574,                 1.3639,                 2.3814,                 1.3358,               0.007822,               0.007822,               0.007822
                     24,                   1.38,                 2.1683,                 1.3047,                0.44382,                0.14064,                0.07619,                0.04624,                 1.4499,                 2.4093,                 1.4056,               0.007723,               0.007723,               0.007723
                     25,                 1.3652,                 2.1592,                 1.2993,                0.58795,                0.10083,                0.07253,                0.04809,                 1.4227,                 2.3876,                 1.4088,               0.007624,               0.007624,               0.007624
                     26,                 1.3766,                 2.1629,                 1.2887,                 0.4271,                0.13971,                0.08038,                0.05048,                 1.3373,                 2.3132,                 1.3086,               0.007525,               0.007525,               0.007525
                     27,                 1.3865,                 2.1845,                 1.2946,                0.11736,                0.17042,                 0.0877,                0.05762,                 1.4065,                 2.2686,                 1.3256,               0.007426,               0.007426,               0.007426
                     28,                 1.3619,                   2.13,                 1.2756,                0.41175,                0.18679,                0.09447,                 0.0583,                 1.3036,                 2.2225,                 1.3029,               0.007327,               0.007327,               0.007327
                     29,                 1.3436,                 2.1503,                 1.2826,                0.57764,                0.13909,                0.07302,                0.04297,                 1.3565,                 2.5147,                 1.3461,               0.007228,               0.007228,               0.007228
                     30,                 1.3795,                 2.1851,                 1.3091,                0.42983,                0.15068,                0.08445,                0.05434,                 1.3151,                 2.1567,                 1.3077,               0.007129,               0.007129,               0.007129
                     31,                 1.3387,                 2.1347,                 1.2845,                0.27275,                 0.1651,                0.08917,                0.05922,                 1.3147,                 2.1726,                  1.307,                0.00703,                0.00703,                0.00703
                     32,                 1.3495,                 2.0979,                 1.2699,                0.58331,                0.12611,                0.08418,                0.05139,                 1.3747,                 2.2431,                 1.3433,               0.006931,               0.006931,               0.006931
                     33,                 1.3129,                 2.0901,                 1.2775,                0.27212,                 0.1709,                0.08775,                0.05636,                 1.3248,                 2.1621,                 1.3242,               0.006832,               0.006832,               0.006832
                     34,                 1.3214,                 2.0917,                 1.2686,                0.42685,                0.11418,                 0.0848,                0.05496,                 1.2667,                 2.2548,                 1.3125,               0.006733,               0.006733,               0.006733
                     35,                 1.3014,                 2.0823,                  1.262,                0.29382,                0.19813,                0.09016,                0.05765,                 1.2691,                 2.1573,                 1.2783,               0.006634,               0.006634,               0.006634
                     36,                  1.297,                 2.0758,                 1.2556,                0.27385,                0.15769,                0.08484,                0.05614,                 1.3156,                 2.1679,                 1.3173,               0.006535,               0.006535,               0.006535
                     37,                 1.2749,                 2.0162,                 1.2422,                0.25609,                0.18837,                0.08114,                0.05504,                  1.256,                  2.231,                 1.2703,               0.006436,               0.006436,               0.006436
                     38,                 1.3176,                 2.0486,                 1.2496,                0.58779,                0.10037,                0.08328,                0.05307,                 1.3206,                 2.2206,                  1.326,               0.006337,               0.006337,               0.006337
                     39,                 1.2848,                 2.0415,                  1.223,                0.29539,                0.19343,                0.08776,                0.05555,                 1.2514,                 2.1497,                 1.2818,               0.006238,               0.006238,               0.006238
                     40,                 1.2642,                 2.0131,                 1.2386,                0.27428,                 0.1884,                0.10624,                0.06441,                 1.3152,                 2.1315,                 1.3311,               0.006139,               0.006139,               0.006139
                     41,                 1.2622,                 1.9986,                 1.2222,                0.44105,                 0.1515,                0.08701,                0.05675,                 1.2752,                  2.156,                 1.3105,                0.00604,                0.00604,                0.00604
                     42,                 1.2978,                 2.0265,                 1.2416,                0.42621,                0.17364,                0.09456,                0.06347,                  1.243,                 2.1118,                 1.2842,               0.005941,               0.005941,               0.005941
                     43,                 1.2815,                 1.9823,                 1.2355,                0.41352,                 0.1414,                0.09148,                0.06389,                 1.2893,                 2.0984,                 1.2998,               0.005842,               0.005842,               0.005842
                     44,                 1.2532,                 1.9896,                 1.2356,                0.24625,                 0.1423,                0.08704,                0.05639,                 1.2281,                  2.115,                 1.2806,               0.005743,               0.005743,               0.005743
                     45,                 1.2589,                 1.9959,                 1.2373,                 0.2752,                0.13206,                0.09039,                0.06209,                 1.2878,                 2.1961,                 1.3041,               0.005644,               0.005644,               0.005644
                     46,                 1.2727,                 2.0175,                 1.2412,                0.26127,                 0.1709,                0.09465,                0.06487,                  1.232,                 2.0984,                 1.2702,               0.005545,               0.005545,               0.005545
                     47,                  1.261,                  1.961,                 1.2288,                0.42876,                0.20562,                 0.0951,                 0.0614,                 1.2177,                 2.1677,                 1.2499,               0.005446,               0.005446,               0.005446
                     48,                 1.2593,                 1.9639,                 1.2309,                0.27875,                0.20585,                0.10231,                 0.0697,                 1.2527,                 2.0251,                 1.2935,               0.005347,               0.005347,               0.005347
                     49,                 1.2291,                 1.9423,                 1.2173,                0.28725,                0.18173,                 0.0902,                 0.0608,                 1.2826,                 2.1256,                  1.314,               0.005248,               0.005248,               0.005248
                     50,                 1.2622,                 2.0105,                 1.2286,                0.41705,                0.20295,                0.10096,                0.06751,                 1.2662,                 2.0516,                 1.3044,               0.005149,               0.005149,               0.005149
                     51,                 1.2477,                 1.9591,                 1.2215,                0.41172,                0.13436,                0.08681,                0.05785,                 1.2421,                 2.1314,                 1.3064,                0.00505,                0.00505,                0.00505
                     52,                 1.2196,                 1.9392,                 1.2004,                0.44201,                0.17522,                0.08976,                0.05763,                 1.2641,                 2.1113,                 1.2912,               0.004951,               0.004951,               0.004951
                     53,                 1.2107,                 1.9126,                 1.1924,                0.29321,                0.17016,                0.09431,                0.06153,                 1.2705,                 2.0812,                 1.2813,               0.004852,               0.004852,               0.004852
                     54,                  1.174,                 1.8759,                 1.1801,                0.27871,                 0.1633,                0.10198,                0.06777,                 1.2167,                  2.088,                 1.2735,               0.004753,               0.004753,               0.004753
                     55,                 1.1952,                 1.9164,                 1.2021,                0.46713,                0.18783,                0.09712,                0.06283,                 1.2635,                 2.0563,                 1.2813,               0.004654,               0.004654,               0.004654
                     56,                 1.2204,                  1.934,                 1.2176,                0.27775,                0.19954,                0.09494,                0.06256,                   1.23,                 2.0115,                 1.2726,               0.004555,               0.004555,               0.004555
                     57,                 1.1905,                  1.909,                 1.2005,                0.26501,                0.21469,                0.10012,                0.06785,                 1.1838,                 2.0212,                 1.2635,               0.004456,               0.004456,               0.004456
                     58,                 1.1814,                 1.8571,                 1.1937,                0.24032,                0.18405,                0.09343,                0.06263,                 1.2651,                 2.0583,                 1.3028,               0.004357,               0.004357,               0.004357
                     59,                 1.1914,                 1.8677,                 1.1908,                0.32528,                0.21993,                0.09911,                0.06726,                 1.2377,                 2.0346,                 1.2906,               0.004258,               0.004258,               0.004258
                     60,                 1.1978,                 1.8607,                 1.1795,                0.30535,                0.16882,                0.10529,                 0.0719,                 1.2194,                 1.9865,                 1.2589,               0.004159,               0.004159,               0.004159
                     61,                 1.1718,                 1.8289,                 1.1821,                0.45805,                0.18147,                0.10708,                0.07026,                 1.2451,                  2.034,                 1.2862,                0.00406,                0.00406,                0.00406
                     62,                 1.1888,                 1.8325,                 1.1868,                0.32067,                0.21519,                0.12582,                0.08811,                  1.223,                  2.015,                 1.2676,               0.003961,               0.003961,               0.003961
                     63,                 1.1445,                 1.7964,                 1.1574,                0.12678,                0.20592,                0.11357,                0.07978,                 1.1957,                 1.9816,                 1.2671,               0.003862,               0.003862,               0.003862
                     64,                 1.1758,                 1.8111,                 1.1819,                0.63785,                0.14572,                0.11217,                0.07819,                 1.2209,                 2.0264,                 1.2897,               0.003763,               0.003763,               0.003763
                     65,                 1.1656,                 1.8208,                 1.1672,                0.26767,                0.20849,                0.11636,                 0.0773,                 1.2369,                 2.0124,                 1.2826,               0.003664,               0.003664,               0.003664
                     66,                 1.1416,                 1.7847,                  1.161,                0.46714,                0.12657,                0.10801,                0.07142,                 1.2016,                 2.0375,                 1.2678,               0.003565,               0.003565,               0.003565
                     67,                 1.1586,                 1.7806,                 1.1706,                 0.2992,                0.17694,                0.09771,                 0.0667,                 1.2395,                 2.0459,                 1.2874,               0.003466,               0.003466,               0.003466
                     68,                 1.1495,                 1.8145,                 1.1562,                0.28854,                0.18663,                0.11961,                0.08368,                 1.2069,                 2.0005,                 1.2725,               0.003367,               0.003367,               0.003367
                     69,                 1.1421,                 1.7876,                  1.175,                0.13222,                0.22513,                0.11269,                0.07765,                 1.2041,                 1.9847,                 1.2698,               0.003268,               0.003268,               0.003268
                     70,                 1.1303,                 1.7552,                 1.1583,                0.35514,                0.21301,                0.13215,                0.09165,                 1.1959,                 1.9465,                 1.2589,               0.003169,               0.003169,               0.003169
                     71,                 1.1426,                 1.7791,                 1.1568,                0.30354,                0.20721,                0.11551,                0.07863,                 1.1989,                 1.9076,                 1.2552,                0.00307,                0.00307,                0.00307
                     72,                 1.1231,                  1.736,                 1.1532,                0.30469,                0.22508,                0.11896,                0.08191,                 1.2038,                 1.9458,                 1.2618,               0.002971,               0.002971,               0.002971
                     73,                 1.1074,                 1.7472,                 1.1549,                0.33648,                0.17903,                0.12121,                0.08348,                 1.2087,                 1.9581,                 1.2826,               0.002872,               0.002872,               0.002872
                     74,                 1.1139,                 1.7511,                 1.1441,                0.27973,                0.19269,                0.11883,                0.07783,                 1.1752,                 1.9322,                 1.2498,               0.002773,               0.002773,               0.002773
                     75,                 1.1094,                  1.728,                 1.1451,                0.28516,                0.20994,                0.11609,                 0.0817,                 1.1672,                 1.9323,                 1.2229,               0.002674,               0.002674,               0.002674
                     76,                 1.1259,                 1.7167,                 1.1536,                0.28125,                0.20992,                0.12074,                0.08473,                 1.1823,                  1.934,                 1.2324,               0.002575,               0.002575,               0.002575
                     77,                 1.1172,                 1.7023,                 1.1406,                0.45025,                0.16483,                0.11343,                0.07779,                 1.1607,                 1.9652,                 1.2447,               0.002476,               0.002476,               0.002476
                     78,                 1.0851,                 1.7113,                 1.1366,                 0.3401,                0.18909,                0.12399,                0.08809,                 1.1938,                 1.9646,                 1.2665,               0.002377,               0.002377,               0.002377
                     79,                  1.084,                 1.6946,                 1.1414,                0.27493,                0.20992,                0.11983,                0.08315,                 1.1971,                  1.927,                 1.2452,               0.002278,               0.002278,               0.002278
                     80,                 1.1002,                 1.6605,                 1.1427,                0.13971,                0.22769,                0.12743,                0.08731,                 1.1895,                 1.9523,                 1.2497,               0.002179,               0.002179,               0.002179
                     81,                 1.1202,                 1.6757,                 1.1456,                0.28914,                0.20864,                0.10976,                0.07567,                  1.166,                 1.9877,                 1.2328,                0.00208,                0.00208,                0.00208
                     82,                  1.073,                 1.6559,                 1.1287,                0.31916,                0.23694,                0.13079,                0.08942,                 1.1667,                 1.8669,                 1.2508,               0.001981,               0.001981,               0.001981
                     83,                 1.0732,                 1.6321,                 1.1229,                0.28118,                0.22445,                0.11807,                0.07758,                 1.1785,                 1.9857,                 1.2733,               0.001882,               0.001882,               0.001882
                     84,                  1.059,                 1.6255,                 1.1156,                0.46344,                0.16291,                0.11734,                0.08081,                 1.1784,                 1.9693,                 1.2538,               0.001783,               0.001783,               0.001783
                     85,                 1.0627,                 1.5833,                 1.1097,                0.30676,                0.19951,                0.12848,                0.09154,                 1.1359,                 1.8982,                 1.2303,               0.001684,               0.001684,               0.001684
                     86,                 1.0541,                 1.5812,                 1.1221,                0.29945,                0.17562,                0.11416,                0.08113,                 1.1731,                    1.9,                 1.2597,               0.001585,               0.001585,               0.001585
                     87,                 1.0326,                 1.5618,                 1.1027,                0.28314,                0.21118,                 0.1327,                0.09189,                 1.1546,                 1.8534,                 1.2394,               0.001486,               0.001486,               0.001486
                     88,                  1.033,                 1.5692,                  1.104,                 0.3029,                 0.1941,                0.11658,                0.08216,                 1.1284,                 1.9061,                 1.2299,               0.001387,               0.001387,               0.001387
                     89,                 1.0444,                 1.6029,                 1.1049,                0.29594,                 0.1909,                0.11809,                0.08365,                 1.1271,                 1.9306,                 1.2119,               0.001288,               0.001288,               0.001288
                     90,                 1.0328,                 1.5482,                  1.105,                 0.1213,                0.21039,                0.12506,                0.08784,                 1.1449,                 1.8778,                 1.2182,               0.001189,               0.001189,               0.001189
                     91,                 1.0393,                 1.5504,                 1.1077,                0.31277,                 0.2662,                0.13491,                0.09085,                 1.1485,                 1.8439,                 1.2319,                0.00109,                0.00109,                0.00109
                     92,                 1.0117,                 1.5195,                 1.0879,                0.13342,                0.21193,                   0.13,                0.09002,                 1.1434,                  1.934,                 1.2235,               0.000991,               0.000991,               0.000991
                     93,                  1.027,                 1.5358,                 1.1008,                0.29468,                0.20731,                0.13365,                0.09306,                 1.1484,                 1.9126,                 1.2313,               0.000892,               0.000892,               0.000892
                     94,                 1.0118,                 1.5238,                 1.0987,                0.14733,                0.20327,                0.12722,                0.08852,                 1.1719,                 1.8822,                 1.2433,               0.000793,               0.000793,               0.000793
                     95,                  1.001,                 1.4744,                 1.0872,                0.12853,                0.22878,                0.13346,                0.09269,                  1.155,                 1.8891,                 1.2492,               0.000694,               0.000694,               0.000694
                     96,                 1.0155,                  1.487,                 1.0941,                0.29586,                0.22615,                0.13176,                0.09164,                 1.1433,                 1.8574,                 1.2267,               0.000595,               0.000595,               0.000595
                     97,                 1.0016,                  1.481,                 1.0869,                0.12787,                0.22758,                0.13078,                0.09127,                 1.1351,                 1.8576,                 1.2307,               0.000496,               0.000496,               0.000496
                     98,                0.96732,                 1.4292,                 1.0723,                0.14065,                0.24685,                0.13229,                0.09332,                 1.1357,                 1.8268,                 1.2243,               0.000397,               0.000397,               0.000397
                     99,                0.98923,                 1.4468,                  1.082,                0.14295,                0.24441,                0.13465,                0.09399,                 1.1525,                 1.8615,                 1.2292,               0.000298,               0.000298,               0.000298
